Loc,solar_thermal,solar,wind,hydro,geo_thermal,water_thermal,bio,fuel_cell
서울,7326900,"598,758,920",534980,2756310,"191,325,130",0,"1,068,703,960","846,826,820"
부산,9036510,"580,290,480",651280,244230,"34,657,400",267490,"666,817,680","457,024,110"
대구,9827350,"433,799,000",69780,"32,087,170","86,538,830",0,"905,221,050","20,224,570"
인천,7187340,"482,377,510","130,895,650","98,052,530","98,692,180",1511900,"1,931,836,040","2,362,483,310"
광주,6884960,"732,085,240",0,"19,305,800","43,647,390",0,"300,356,380",8745760
대전,7338530,"234,414,280",1058330,639650,"61,418,030",0,"331,582,930","22,213,300"
울산,3861160,"316,277,850",3756490,3605300,"48,799,480",0,"4,329,279,130","35,064,450"
세종,1349080,"216,818,090",0,0,"173,403,300",0,"280,480,710","98,447,950"
경기,"28,819,140","3,611,626,720","13,944,370","1,610,196,760","610,761,080",93040,"5,165,034,190","3,054,549,720"
강원,"33,680,480","3,520,761,530","1,938,174,390","2,631,450,320","229,041,220",7478090,"4,619,249,920","122,021,960"
충북,"15,467,900","2,792,909,610",46520,"2,502,031,680","141,490,580",0,"1,137,181,400",1663090
충남,"26,772,260","6,184,415,320",7408310,"152,608,860","240,264,170","17,782,270","6,330,616,050","1,135,320,600"
전북,"14,595,650","8,068,335,760","325,023,610","707,941,360","244,404,450",8803910,"10,469,523,710","21,480,610"
전남,"36,087,890","9,885,325,550","1,428,012,810","282,702,040","200,105,780","139,211,100","854,281,650","416,505,190"
경북,"48,694,810","5,780,807,800","2,338,676,700","790,258,500","201,513,010",6663990,"1,099,279,230","80,456,340"
경남,"46,008,280","3,667,834,510","184,056,380","768,045,200","175,799,080","44,473,120","1,969,145,080","48,822,740"
제주,3954200,"1,227,069,670","1,432,269,390",8466640,"20,596,730","20,945,630","3,888,781,250",511720
